model,question,expected,generated,rouge1,rouge2,rougeL,semantic_similarity,medical_accuracy,response_time
Baseline_LSTM,Describe the pathophysiology and management of rheumatoid ar...,Rheumatoid arthritis is an autoimmune disease characterized by chronic synovial inflammation leading...,"Hypertension results from increased sympathetic activity, altered renal sodium handling, endothelial...",0.07894736842105264,0.0,0.07894736842105264,0.09989485,0.0,0.03199410438537598
Baseline_LSTM,Explain the clinical presentation and management of pneumoni...,"Pneumonia is an infection of the alveoli, typically caused by bacteria like Streptococcus pneumoniae...","Asthma is chronic airway inflammation with variable obstruction, treated with inhaled corticosteroid...",0.11428571428571427,0.0,0.11428571428571427,0.27198172,0.0,0.02146744728088379
Baseline_LSTM,Discuss the causes and management of upper gastrointestinal ...,"Common causes include peptic ulcer disease, esophageal varices, and gastritis. Patients may present ...","Hypertension results from increased sympathetic activity, altered renal sodium handling, endothelial...",0.058823529411764705,0.0,0.058823529411764705,0.1827558,0.0,0.02351856231689453
Baseline_LSTM,Describe the complications of diabetes mellitus and their pr...,"Chronic complications include microvascular (retinopathy, nephropathy, neuropathy) and macrovascular...","Diabetes mellitus is characterized by hyperglycemia due to insulin deficiency or resistance, with co...",0.21538461538461537,0.031746031746031744,0.15384615384615385,0.47098356,0.0,0.02208256721496582
Baseline_LSTM,Explain the diagnosis and management of hypothyroidism....,"Hypothyroidism results from thyroid hormone deficiency, commonly due to autoimmune thyroiditis (Hash...","Diabetes mellitus is characterized by hyperglycemia due to insulin deficiency or resistance, with co...",0.2222222222222222,0.02857142857142857,0.19444444444444445,0.2128452,0.0,0.01841282844543457
Baseline_LSTM,Discuss the pathogenesis and treatment of peptic ulcer disea...,"Peptic ulcer disease arises from mucosal damage due to gastric acid and pepsin, often caused by Heli...","Chronic kidney disease involves progressive loss of renal function, managed with BP control, dietary...",0.08108108108108107,0.0,0.08108108108108107,0.040956274,0.3333333333333333,0.01890254020690918
Baseline_LSTM,Describe the causes and management of chronic liver disease....,"Chronic liver disease is caused by viral hepatitis (B, C), alcohol, non-alcoholic fatty liver diseas...","Chronic kidney disease involves progressive loss of renal function, managed with BP control, dietary...",0.18666666666666665,0.0,0.13333333333333333,0.4600874,0.6666666666666666,0.014984369277954102
Baseline_LSTM,Explain the classification and management of shock....,"Shock is a state of inadequate tissue perfusion. It is classified as hypovolemic, cardiogenic, distr...","Hypertension results from increased sympathetic activity, altered renal sodium handling, endothelial...",0.03125,0.0,0.03125,0.19196698,0.0,0.018007278442382812
Baseline_LSTM,Discuss the approach to a patient with acute renal failure....,Acute renal failure (acute kidney injury) is characterized by a sudden decline in renal function. It...,"Chronic kidney disease involves progressive loss of renal function, managed with BP control, dietary...",0.18181818181818182,0.026666666666666665,0.18181818181818182,0.3835753,0.5,0.015983104705810547
Baseline_LSTM,Explain the etiology and management of deep vein thrombosis ...,"DVT results from venous stasis, endothelial injury, and hypercoagulability (Virchow’s triad). Common...","Chronic kidney disease involves progressive loss of renal function, managed with BP control, dietary...",0.1111111111111111,0.0,0.08333333333333333,0.1268157,0.0,0.017998695373535156
Baseline_LSTM,Discuss the management of chronic hypertension....,"Management involves lifestyle modifications (salt restriction, weight loss, exercise) and pharmacolo...","Based on medical literature, further clinical evaluation is recommended....",0.05128205128205128,0.0,0.05128205128205128,0.28187865,0.0,0.01907038688659668
Baseline_LSTM,Describe the causes and management of ascites....,"Ascites is the accumulation of fluid in the peritoneal cavity, most commonly due to cirrhosis. Other...","Chronic kidney disease involves progressive loss of renal function, managed with BP control, dietary...",0.1095890410958904,0.0,0.1095890410958904,0.19573346,0.0,0.023506641387939453
Baseline_LSTM,Explain the pathophysiology and management of asthma....,Asthma involves chronic airway inflammation leading to hyperresponsiveness and reversible airflow ob...,"Asthma is chronic airway inflammation with variable obstruction, treated with inhaled corticosteroid...",0.3703703703703704,0.11538461538461538,0.3333333333333333,0.74922496,0.75,0.020136594772338867
Baseline_LSTM,Discuss the differential diagnosis and management of chest p...,"Chest pain may arise from cardiac (MI, angina), pulmonary (PE, pneumonia), gastrointestinal (reflux)...","Heart failure occurs when cardiac output cannot meet metabolic demands, leading to pulmonary congest...",0.1095890410958904,0.0,0.1095890410958904,0.37794584,0.6666666666666666,0.028998374938964844
Baseline_LSTM,Describe the causes and management of anemia of chronic dise...,"Anemia of chronic disease results from impaired iron utilization, decreased erythropoietin response,...","Chronic kidney disease involves progressive loss of renal function, managed with BP control, dietary...",0.28169014084507044,0.0,0.19718309859154928,0.38578153,0.5,0.018897533416748047
BioGPT_Medical,What are the primary mechanisms underlying hypertension in e...,Essential hypertension results from a combination of genetic and environmental factors that affect c...,Essential hypertension involves multiple mechanisms including increased sympathetic nervous system a...,0.782608695652174,0.6888888888888889,0.7608695652173912,0.8749576,0.75,0.01799917221069336
BioGPT_Medical,Explain the pathophysiology and clinical manifestations of c...,Congestive heart failure occurs when the heart cannot maintain adequate cardiac output to meet the b...,Congestive heart failure occurs when the heart cannot maintain adequate cardiac output to meet metab...,0.8089887640449438,0.6206896551724138,0.7640449438202247,0.9751409,1.0,0.02414083480834961
BioGPT_Medical,Discuss the causes and management of iron deficiency anemia....,"Iron deficiency anemia occurs due to inadequate dietary intake, chronic blood loss (especially gastr...","Based on medical knowledge: Chronic kidney disease involves progressive loss of renal function, mana...",0.16867469879518074,0.0,0.12048192771084336,0.2619235,0.5,0.02603912353515625
BioGPT_Medical,Describe the etiology and diagnostic approach to chronic kid...,Chronic kidney disease results from progressive loss of renal function over months to years. Common ...,Chronic kidney disease results from progressive loss of renal function. Common causes include diabet...,0.5238095238095238,0.46341463414634143,0.5238095238095238,0.8747252,0.8571428571428571,0.018996715545654297
BioGPT_Medical,Outline the pathogenesis and treatment of type 2 diabetes me...,Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk ...,Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk ...,0.8607594936708861,0.7272727272727273,0.8354430379746836,0.97130257,1.0,0.02541327476501465
BioGPT_Medical,"Explain the mechanisms, diagnosis, and management of acute m...",Acute MI results from rupture or erosion of an atherosclerotic plaque leading to thrombotic occlusio...,"Based on medical knowledge: Heart failure occurs when cardiac output cannot meet metabolic demands, ...",0.15217391304347824,0.02222222222222222,0.10869565217391305,0.21688432,0.3333333333333333,0.031696319580078125
BioGPT_Medical,Discuss the differential diagnosis and management of fever o...,FUO is defined as a fever >38.3°C lasting more than three weeks without an established diagnosis aft...,"Based on medical knowledge: Asthma is chronic airway inflammation with variable obstruction, treated...",0.11363636363636365,0.023255813953488372,0.06818181818181819,0.10897351,0.0,0.03400611877441406
BioGPT_Medical,Describe the clinical features and treatment of chronic obst...,"COPD is characterized by airflow limitation due to chronic bronchitis and/or emphysema, usually from...","Based on medical knowledge: Asthma is chronic airway inflammation with variable obstruction, treated...",0.20512820512820512,0.02631578947368421,0.12820512820512822,0.5387119,0.25,0.027437448501586914
BioGPT_Medical,Explain the causes and management of hyponatremia....,Hyponatremia is defined as a serum sodium <135 mmol/L and results from excess water retention relati...,"Based on medical knowledge: Heart failure occurs when cardiac output cannot meet metabolic demands, ...",0.16666666666666666,0.024390243902439025,0.11904761904761904,0.24843857,0.3333333333333333,0.03023982048034668
BioGPT_Medical,Discuss the approach to a patient with syncope....,Syncope is a transient loss of consciousness due to cerebral hypoperfusion. The evaluation includes ...,"Based on medical knowledge: Asthma is chronic airway inflammation with variable obstruction, treated...",0.12658227848101267,0.0,0.0759493670886076,0.07294224,0.0,0.039136648178100586
BioGPT_Medical,Describe the pathophysiology and management of rheumatoid ar...,Rheumatoid arthritis is an autoimmune disease characterized by chronic synovial inflammation leading...,"Based on medical knowledge: Hypertension results from increased sympathetic activity, altered renal ...",0.075,0.0,0.075,0.0884826,0.0,0.040711402893066406
BioGPT_Medical,Explain the clinical presentation and management of pneumoni...,"Pneumonia is an infection of the alveoli, typically caused by bacteria like Streptococcus pneumoniae...","Based on medical knowledge: Asthma is chronic airway inflammation with variable obstruction, treated...",0.20512820512820512,0.02631578947368421,0.15384615384615383,0.3015263,0.3333333333333333,0.03205108642578125
BioGPT_Medical,Discuss the causes and management of upper gastrointestinal ...,"Common causes include peptic ulcer disease, esophageal varices, and gastritis. Patients may present ...","Based on medical knowledge: Hypertension results from increased sympathetic activity, altered renal ...",0.05555555555555555,0.0,0.05555555555555555,0.21397617,0.0,0.03014349937438965
BioGPT_Medical,Describe the complications of diabetes mellitus and their pr...,"Chronic complications include microvascular (retinopathy, nephropathy, neuropathy) and macrovascular...",Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk ...,0.11594202898550725,0.0,0.11594202898550725,0.49756828,0.3333333333333333,0.034147024154663086
BioGPT_Medical,Explain the diagnosis and management of hypothyroidism....,"Hypothyroidism results from thyroid hormone deficiency, commonly due to autoimmune thyroiditis (Hash...",Based on medical knowledge: Diabetes mellitus is characterized by hyperglycemia due to insulin defic...,0.2222222222222222,0.02857142857142857,0.19444444444444445,0.19360697,0.0,0.03615570068359375
BioGPT_Medical,Discuss the pathogenesis and treatment of peptic ulcer disea...,"Peptic ulcer disease arises from mucosal damage due to gastric acid and pepsin, often caused by Heli...","Based on medical knowledge: Chronic kidney disease involves progressive loss of renal function, mana...",0.07792207792207792,0.0,0.07792207792207792,0.03930555,0.3333333333333333,0.03773689270019531
BioGPT_Medical,Describe the causes and management of chronic liver disease....,"Chronic liver disease is caused by viral hepatitis (B, C), alcohol, non-alcoholic fatty liver diseas...","Based on medical knowledge: Chronic kidney disease involves progressive loss of renal function, mana...",0.15384615384615385,0.0,0.10256410256410256,0.41292456,0.6666666666666666,0.036867380142211914
BioGPT_Medical,Explain the classification and management of shock....,"Shock is a state of inadequate tissue perfusion. It is classified as hypovolemic, cardiogenic, distr...","Based on medical knowledge: Hypertension results from increased sympathetic activity, altered renal ...",0.058823529411764705,0.0,0.058823529411764705,0.21612091,0.0,0.04052615165710449
BioGPT_Medical,Discuss the approach to a patient with acute renal failure....,Acute renal failure (acute kidney injury) is characterized by a sudden decline in renal function. It...,Chronic kidney disease results from progressive loss of renal function. Common causes include diabet...,0.2337662337662338,0.026666666666666665,0.18181818181818182,0.4776666,0.75,0.019888639450073242
BioGPT_Medical,Explain the etiology and management of deep vein thrombosis ...,"DVT results from venous stasis, endothelial injury, and hypercoagulability (Virchow’s triad). Common...","Based on medical knowledge: Chronic kidney disease involves progressive loss of renal function, mana...",0.08,0.0,0.08,0.16425048,0.0,0.02298116683959961
BioGPT_Medical,Discuss the management of chronic hypertension....,"Management involves lifestyle modifications (salt restriction, weight loss, exercise) and pharmacolo...",Essential hypertension involves multiple mechanisms including increased sympathetic nervous system a...,0.20588235294117646,0.0,0.17647058823529413,0.48973054,0.3333333333333333,0.03460502624511719
BioGPT_Medical,Describe the causes and management of ascites....,"Ascites is the accumulation of fluid in the peritoneal cavity, most commonly due to cirrhosis. Other...","Based on medical knowledge: Chronic kidney disease involves progressive loss of renal function, mana...",0.10526315789473684,0.0,0.07894736842105263,0.21784589,0.0,0.026139020919799805
BioGPT_Medical,Explain the pathophysiology and management of asthma....,Asthma involves chronic airway inflammation leading to hyperresponsiveness and reversible airflow ob...,Asthma involves chronic airway inflammation leading to hyperresponsiveness and reversible airflow ob...,0.5161290322580646,0.39999999999999997,0.5161290322580646,0.7305601,1.0,0.028828859329223633
BioGPT_Medical,Discuss the differential diagnosis and management of chest p...,"Chest pain may arise from cardiac (MI, angina), pulmonary (PE, pneumonia), gastrointestinal (reflux)...","Based on medical knowledge: Heart failure occurs when cardiac output cannot meet metabolic demands, ...",0.1518987341772152,0.0,0.10126582278481013,0.3713317,0.6666666666666666,0.03804802894592285
BioGPT_Medical,Describe the causes and management of anemia of chronic dise...,"Anemia of chronic disease results from impaired iron utilization, decreased erythropoietin response,...","Based on medical knowledge: Chronic kidney disease involves progressive loss of renal function, mana...",0.27027027027027023,0.0,0.18918918918918923,0.3614404,0.5,0.03545045852661133
Clinical_BERT,What are the primary mechanisms underlying hypertension in e...,Essential hypertension results from a combination of genetic and environmental factors that affect c...,Essential hypertension pathophysiology involves: (1) Genetic and environmental factors affecting car...,0.6542056074766356,0.4380952380952381,0.616822429906542,0.8813934,1.0,0.03200054168701172
Clinical_BERT,Explain the pathophysiology and clinical manifestations of c...,Congestive heart failure occurs when the heart cannot maintain adequate cardiac output to meet the b...,Heart failure pathophysiology: Systolic dysfunction (reduced ejection fraction) or diastolic dysfunc...,0.4842105263157895,0.23655913978494622,0.4210526315789474,0.72078955,1.0,0.026673316955566406
Clinical_BERT,Discuss the causes and management of iron deficiency anemia....,"Iron deficiency anemia occurs due to inadequate dietary intake, chronic blood loss (especially gastr...","Clinical analysis: Chronic kidney disease involves progressive loss of renal function, managed with ...",0.1509433962264151,0.0,0.11320754716981131,0.31872243,0.5,0.033838748931884766
Clinical_BERT,Describe the etiology and diagnostic approach to chronic kid...,Chronic kidney disease results from progressive loss of renal function over months to years. Common ...,"Clinical analysis: Chronic kidney disease involves progressive loss of renal function, managed with ...",0.3090909090909091,0.14814814814814814,0.2545454545454545,0.6366696,0.5714285714285714,0.0358884334564209
Clinical_BERT,Outline the pathogenesis and treatment of type 2 diabetes me...,Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk ...,"Type 2 diabetes management: (1) Lifestyle: Medical nutrition therapy, 150 min/week moderate exercise...",0.19780219780219782,0.06741573033707866,0.17582417582417584,0.6590797,0.6,0.03722739219665527
Clinical_BERT,"Explain the mechanisms, diagnosis, and management of acute m...",Acute MI results from rupture or erosion of an atherosclerotic plaque leading to thrombotic occlusio...,"Clinical analysis: Heart failure occurs when cardiac output cannot meet metabolic demands, leading t...",0.1391304347826087,0.017699115044247787,0.10434782608695653,0.27022615,0.5,0.019548654556274414
Clinical_BERT,Discuss the differential diagnosis and management of fever o...,FUO is defined as a fever >38.3°C lasting more than three weeks without an established diagnosis aft...,"Clinical analysis: Asthma is chronic airway inflammation with variable obstruction, treated with inh...",0.12727272727272726,0.018518518518518517,0.10909090909090909,0.09535641,0.0,0.014999151229858398
Clinical_BERT,Describe the clinical features and treatment of chronic obst...,"COPD is characterized by airflow limitation due to chronic bronchitis and/or emphysema, usually from...","Clinical analysis: Asthma is chronic airway inflammation with variable obstruction, treated with inh...",0.19999999999999998,0.020408163265306124,0.14,0.55204195,0.5,0.01733112335205078
Clinical_BERT,Explain the causes and management of hyponatremia....,Hyponatremia is defined as a serum sodium <135 mmol/L and results from excess water retention relati...,"Clinical analysis: Heart failure occurs when cardiac output cannot meet metabolic demands, leading t...",0.16822429906542058,0.019047619047619046,0.09345794392523364,0.24877724,0.3333333333333333,0.03727126121520996
Clinical_BERT,Discuss the approach to a patient with syncope....,Syncope is a transient loss of consciousness due to cerebral hypoperfusion. The evaluation includes ...,"Clinical analysis: Asthma is chronic airway inflammation with variable obstruction, treated with inh...",0.1782178217821782,0.06060606060606061,0.15841584158415842,0.084887,0.0,0.0330045223236084
Clinical_BERT,Describe the pathophysiology and management of rheumatoid ar...,Rheumatoid arthritis is an autoimmune disease characterized by chronic synovial inflammation leading...,"Clinical analysis: Hypertension results from increased sympathetic activity, altered renal sodium ha...",0.11650485436893204,0.0,0.0970873786407767,0.116154216,0.25,0.027923107147216797
Clinical_BERT,Explain the clinical presentation and management of pneumoni...,"Pneumonia is an infection of the alveoli, typically caused by bacteria like Streptococcus pneumoniae...","Clinical analysis: Asthma is chronic airway inflammation with variable obstruction, treated with inh...",0.19999999999999998,0.020408163265306124,0.12000000000000001,0.29512197,0.6666666666666666,0.014995336532592773
Clinical_BERT,Discuss the causes and management of upper gastrointestinal ...,"Common causes include peptic ulcer disease, esophageal varices, and gastritis. Patients may present ...","Clinical analysis: Hypertension results from increased sympathetic activity, altered renal sodium ha...",0.08421052631578947,0.0,0.0631578947368421,0.22590983,0.0,0.01700735092163086
Clinical_BERT,Describe the complications of diabetes mellitus and their pr...,"Chronic complications include microvascular (retinopathy, nephropathy, neuropathy) and macrovascular...",Clinical analysis: Diabetes mellitus is characterized by hyperglycemia due to insulin deficiency or ...,0.13333333333333333,0.022727272727272728,0.13333333333333333,0.48883677,0.0,0.022998571395874023
Clinical_BERT,Explain the diagnosis and management of hypothyroidism....,"Hypothyroidism results from thyroid hormone deficiency, commonly due to autoimmune thyroiditis (Hash...",Clinical analysis: Diabetes mellitus is characterized by hyperglycemia due to insulin deficiency or ...,0.18556701030927836,0.021052631578947368,0.16494845360824742,0.21479332,0.5,0.02854132652282715
Clinical_BERT,Discuss the pathogenesis and treatment of peptic ulcer disea...,"Peptic ulcer disease arises from mucosal damage due to gastric acid and pepsin, often caused by Heli...","Clinical analysis: Chronic kidney disease involves progressive loss of renal function, managed with ...",0.09999999999999999,0.0,0.09999999999999999,0.07215226,0.6666666666666666,0.017950773239135742
Clinical_BERT,Describe the causes and management of chronic liver disease....,"Chronic liver disease is caused by viral hepatitis (B, C), alcohol, non-alcoholic fatty liver diseas...","Clinical analysis: Chronic kidney disease involves progressive loss of renal function, managed with ...",0.13861386138613863,0.0,0.09900990099009901,0.38636512,0.6666666666666666,0.018005847930908203
Clinical_BERT,Explain the classification and management of shock....,"Shock is a state of inadequate tissue perfusion. It is classified as hypovolemic, cardiogenic, distr...","Clinical analysis: Hypertension results from increased sympathetic activity, altered renal sodium ha...",0.10989010989010989,0.0,0.0879120879120879,0.21722756,0.5,0.018021821975708008
Clinical_BERT,Discuss the approach to a patient with acute renal failure....,Acute renal failure (acute kidney injury) is characterized by a sudden decline in renal function. It...,"Clinical analysis: Chronic kidney disease involves progressive loss of renal function, managed with ...",0.23300970873786406,0.019801980198019806,0.17475728155339806,0.4271304,0.5,0.023396968841552734
Clinical_BERT,Explain the etiology and management of deep vein thrombosis ...,"DVT results from venous stasis, endothelial injury, and hypercoagulability (Virchow’s triad). Common...","Clinical analysis: Chronic kidney disease involves progressive loss of renal function, managed with ...",0.14285714285714285,0.0,0.08163265306122448,0.18378928,0.5,0.015998125076293945
Clinical_BERT,Discuss the management of chronic hypertension....,"Management involves lifestyle modifications (salt restriction, weight loss, exercise) and pharmacolo...","Hypertension management: (1) Lifestyle modifications: DASH diet, sodium restriction <2.4g/day, weigh...",0.38961038961038963,0.18666666666666665,0.36363636363636365,0.7113339,0.3333333333333333,0.015004158020019531
Clinical_BERT,Describe the causes and management of ascites....,"Ascites is the accumulation of fluid in the peritoneal cavity, most commonly due to cirrhosis. Other...","Clinical analysis: Chronic kidney disease involves progressive loss of renal function, managed with ...",0.10101010101010102,0.0,0.08080808080808081,0.21696185,0.0,0.015987873077392578
Clinical_BERT,Explain the pathophysiology and management of asthma....,Asthma involves chronic airway inflammation leading to hyperresponsiveness and reversible airflow ob...,"Clinical analysis: Asthma is chronic airway inflammation with variable obstruction, treated with inh...",0.28571428571428575,0.07317073170731707,0.23809523809523808,0.7202685,1.0,0.03142881393432617
Clinical_BERT,Discuss the differential diagnosis and management of chest p...,"Chest pain may arise from cardiac (MI, angina), pulmonary (PE, pneumonia), gastrointestinal (reflux)...","Clinical analysis: Heart failure occurs when cardiac output cannot meet metabolic demands, leading t...",0.13725490196078433,0.019999999999999997,0.11764705882352941,0.38923666,0.6666666666666666,0.023901939392089844
Clinical_BERT,Describe the causes and management of anemia of chronic dise...,"Anemia of chronic disease results from impaired iron utilization, decreased erythropoietin response,...","Clinical analysis: Chronic kidney disease involves progressive loss of renal function, managed with ...",0.2268041237113402,0.0,0.1443298969072165,0.40655628,0.5,0.02611541748046875
